global_cycle_index,cycle_index,run_id,utc_timestamp,monotonic_start,trip_time_s,verdict,analysis_version,led_state_at_gate,degraded_flags,notes,source_run,source_cycle_index,delta_monotonic_s,ref_amplitude_v,noise_sigma_v,on_threshold_v,off_threshold_v,t0_s,t0_source,record_after_t0_s,burst_start_s,t_end_s,decision,sanity_failed_note,sanity_signal_present,sanity_no_pretrigger_leakage,sanity_record_spans_no_trip_limit,sanity_burst_starts_near_t0,sanity_collapse_is_clean,sanity_no_trip_persistent,utc_ts,utc_delta_s,process_segment,gap_over_baseline_s,is_process_pause,is_likely_retry,utc_hour
11,11,200_v3_real_20260813T131932Z,2026-08-13T13:30:34.243831+00:00,4430.546502338,0.0173895,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.679240; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.017388935; decision=trip time within the pass limit; trip_time_s=0.017389500; analysis_version=v3",200_v3_real_20260813T131932Z,11,61.72327726100048,164.8241,0.67924,41.206025,16.48241,-5.65e-07,detected_onset,0.25,-5.65e-07,0.017388935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:30:34.243831+00:00,59.544599,0,-1.711818000000001,False,False,13
12,12,200_v3_real_20260813T131932Z,2026-08-13T13:31:36.297485+00:00,4490.033227182,0.0151109999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.967448; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000013435; t0_source=detected_onset; record_after_t0_s=0.249986; burst_start_s=0.000013435; t_end_s=0.015124435; decision=trip time within the pass limit; trip_time_s=0.015111000; analysis_version=v3",200_v3_real_20260813T131932Z,12,59.48672484399958,162.81405,0.967448,40.703513,16.281405,1.3435e-05,detected_onset,0.249986,1.3435e-05,0.015124435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:31:36.297485+00:00,62.053654,0,0.7972370000000026,False,False,13
13,13,200_v3_real_20260813T131932Z,2026-08-13T13:32:41.079806+00:00,4552.19164859,0.0233939999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.706752; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002772065; t0_source=detected_onset; record_after_t0_s=0.252772; burst_start_s=-0.002772065; t_end_s=0.020621935; decision=trip time within the pass limit; trip_time_s=0.023394000; analysis_version=v3",200_v3_real_20260813T131932Z,13,62.15842140800032,166.83415,0.706752,41.708538,16.683415,-0.002772065,detected_onset,0.252772,-0.002772065,0.020621935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:32:41.079806+00:00,64.782321,0,3.525903999999997,False,False,13
14,14,200_v3_real_20260813T131932Z,2026-08-13T13:33:42.376069+00:00,4616.897124152,0.0247605,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.714063; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.003952065; t0_source=detected_onset; record_after_t0_s=0.253951; burst_start_s=-0.003952065; t_end_s=0.020808435; decision=trip time within the pass limit; trip_time_s=0.024760500; analysis_version=v3",200_v3_real_20260813T131932Z,14,64.70547556200017,164.8241,0.714063,41.206025,16.48241,-0.003952065,detected_onset,0.253951,-0.003952065,0.020808435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:33:42.376069+00:00,61.296263,0,0.03984600000000427,False,False,13
15,15,200_v3_real_20260813T131932Z,2026-08-13T13:34:42.615144+00:00,4678.184599076,0.0189129999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.710262; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=0.000046435; t0_source=detected_onset; record_after_t0_s=0.249953; burst_start_s=0.000046435; t_end_s=0.018959435; decision=trip time within the pass limit; trip_time_s=0.018913000; analysis_version=v3",200_v3_real_20260813T131932Z,15,61.28747492399998,166.83415,0.710262,41.708538,16.683415,4.6435e-05,detected_onset,0.249953,4.6435e-05,0.018959435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:34:42.615144+00:00,60.239075,0,-1.0173419999999993,False,False,13
16,16,200_v3_real_20260813T131932Z,2026-08-13T13:35:44.235333+00:00,4738.492059497,0.0175894999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.697714; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.017588935; decision=trip time within the pass limit; trip_time_s=0.017589500; analysis_version=v3",200_v3_real_20260813T131932Z,16,60.30746042099963,164.8241,0.697714,41.206025,16.48241,-5.65e-07,detected_onset,0.25,-5.65e-07,0.017588935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:35:44.235333+00:00,61.620189,0,0.3637720000000044,False,False,13
17,17,200_v3_real_20260813T131932Z,2026-08-13T13:36:47.333364+00:00,4800.047363013,0.0117524999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.721291; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.004979565; t0_source=detected_onset; record_after_t0_s=0.254979; burst_start_s=-0.004979565; t_end_s=0.006772935; decision=trip time within the pass limit; trip_time_s=0.011752500; analysis_version=v3",200_v3_real_20260813T131932Z,17,61.555303516000095,164.8241,0.721291,41.206025,16.48241,-0.004979565,detected_onset,0.254979,-0.004979565,0.006772935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:36:47.333364+00:00,63.098031,0,1.8416139999999999,False,False,13
18,18,200_v3_real_20260813T131932Z,2026-08-13T13:37:49.709279+00:00,4863.276754792,0.0142734999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=160.804000; noise_sigma_v=1.029670; on_threshold_v=40.201000; off_threshold_v=16.080400; t0_s=0.000000935; t0_source=detected_onset; record_after_t0_s=0.249999; burst_start_s=0.000000935; t_end_s=0.014274435; decision=trip time within the pass limit; trip_time_s=0.014273500; analysis_version=v3",200_v3_real_20260813T131932Z,18,63.22939177900025,160.804,1.02967,40.201,16.0804,9.35e-07,detected_onset,0.249999,9.35e-07,0.014274435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:37:49.709279+00:00,62.375915,0,1.119498,False,False,13
19,19,200_v3_real_20260813T131932Z,2026-08-13T13:38:50.670182+00:00,4925.636322855,0.0195704999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.823384; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002649565; t0_source=detected_onset; record_after_t0_s=0.252649; burst_start_s=-0.002649565; t_end_s=0.016920935; decision=trip time within the pass limit; trip_time_s=0.019570500; analysis_version=v3",200_v3_real_20260813T131932Z,19,62.35956806299964,166.83415,0.823384,41.708538,16.683415,-0.002649565,detected_onset,0.252649,-0.002649565,0.016920935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:38:50.670182+00:00,60.960903,0,-0.29551399999999717,False,False,13
20,20,200_v3_real_20260813T131932Z,2026-08-13T13:39:50.515778+00:00,4986.555588484,0.0153269999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.917431; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000040435; t0_source=detected_onset; record_after_t0_s=0.249959; burst_start_s=0.000040435; t_end_s=0.015367435; decision=trip time within the pass limit; trip_time_s=0.015327000; analysis_version=v3",200_v3_real_20260813T131932Z,20,60.91926562899971,162.81405,0.917431,40.703513,16.281405,4.0435e-05,detected_onset,0.249959,4.0435e-05,0.015367435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:39:50.515778+00:00,59.845596,0,-1.4108209999999985,False,False,13
21,21,200_v3_real_20260813T131932Z,2026-08-13T13:40:55.042137+00:00,5046.330823748,0.015122,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.947618; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000046935; t0_source=detected_onset; record_after_t0_s=0.249953; burst_start_s=0.000046935; t_end_s=0.015168935; decision=trip time within the pass limit; trip_time_s=0.015122000; analysis_version=v3",200_v3_real_20260813T131932Z,21,59.775235264,162.81405,0.947618,40.703513,16.281405,4.6935e-05,detected_onset,0.249953,4.6935e-05,0.015168935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:40:55.042137+00:00,64.526359,0,3.2699420000000003,False,False,13
22,22,200_v3_real_20260813T131932Z,2026-08-13T13:41:57.332730+00:00,5110.912044938,0.013015,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=1.008580; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=-0.008397065; t0_source=detected_onset; record_after_t0_s=0.258397; burst_start_s=-0.008397065; t_end_s=0.004617935; decision=trip time within the pass limit; trip_time_s=0.013015000; analysis_version=v3",200_v3_real_20260813T131932Z,22,64.58122119000018,162.81405,1.00858,40.703513,16.281405,-0.008397065,detected_onset,0.258397,-0.008397065,0.004617935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:41:57.332730+00:00,62.290593,0,1.0341760000000022,False,False,13
