global_cycle_index,cycle_index,run_id,utc_timestamp,monotonic_start,trip_time_s,verdict,analysis_version,led_state_at_gate,degraded_flags,notes,source_run,source_cycle_index,delta_monotonic_s
11,11,200_v3_real_20260813T131932Z,2026-08-13T13:30:34.243831+00:00,4430.546502338,0.0173895,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.679240; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.017388935; decision=trip time within the pass limit; trip_time_s=0.017389500; analysis_version=v3",200_v3_real_20260813T131932Z,11,61.723277261000476
12,12,200_v3_real_20260813T131932Z,2026-08-13T13:31:36.297485+00:00,4490.033227182,0.0151109999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.967448; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000013435; t0_source=detected_onset; record_after_t0_s=0.249986; burst_start_s=0.000013435; t_end_s=0.015124435; decision=trip time within the pass limit; trip_time_s=0.015111000; analysis_version=v3",200_v3_real_20260813T131932Z,12,59.48672484399958
13,13,200_v3_real_20260813T131932Z,2026-08-13T13:32:41.079806+00:00,4552.19164859,0.0233939999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.706752; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002772065; t0_source=detected_onset; record_after_t0_s=0.252772; burst_start_s=-0.002772065; t_end_s=0.020621935; decision=trip time within the pass limit; trip_time_s=0.023394000; analysis_version=v3",200_v3_real_20260813T131932Z,13,62.15842140800032
14,14,200_v3_real_20260813T131932Z,2026-08-13T13:33:42.376069+00:00,4616.897124152,0.0247605,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.714063; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.003952065; t0_source=detected_onset; record_after_t0_s=0.253951; burst_start_s=-0.003952065; t_end_s=0.020808435; decision=trip time within the pass limit; trip_time_s=0.024760500; analysis_version=v3",200_v3_real_20260813T131932Z,14,64.70547556200017
15,15,200_v3_real_20260813T131932Z,2026-08-13T13:34:42.615144+00:00,4678.184599076,0.0189129999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.710262; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=0.000046435; t0_source=detected_onset; record_after_t0_s=0.249953; burst_start_s=0.000046435; t_end_s=0.018959435; decision=trip time within the pass limit; trip_time_s=0.018913000; analysis_version=v3",200_v3_real_20260813T131932Z,15,61.28747492399998
16,16,200_v3_real_20260813T131932Z,2026-08-13T13:35:44.235333+00:00,4738.492059497,0.0175894999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.697714; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.017588935; decision=trip time within the pass limit; trip_time_s=0.017589500; analysis_version=v3",200_v3_real_20260813T131932Z,16,60.30746042099963
17,17,200_v3_real_20260813T131932Z,2026-08-13T13:36:47.333364+00:00,4800.047363013,0.0117524999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.721291; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.004979565; t0_source=detected_onset; record_after_t0_s=0.254979; burst_start_s=-0.004979565; t_end_s=0.006772935; decision=trip time within the pass limit; trip_time_s=0.011752500; analysis_version=v3",200_v3_real_20260813T131932Z,17,61.555303516000095
18,18,200_v3_real_20260813T131932Z,2026-08-13T13:37:49.709279+00:00,4863.276754792,0.0142734999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=160.804000; noise_sigma_v=1.029670; on_threshold_v=40.201000; off_threshold_v=16.080400; t0_s=0.000000935; t0_source=detected_onset; record_after_t0_s=0.249999; burst_start_s=0.000000935; t_end_s=0.014274435; decision=trip time within the pass limit; trip_time_s=0.014273500; analysis_version=v3",200_v3_real_20260813T131932Z,18,63.22939177900025
19,19,200_v3_real_20260813T131932Z,2026-08-13T13:38:50.670182+00:00,4925.636322855,0.0195704999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.823384; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002649565; t0_source=detected_onset; record_after_t0_s=0.252649; burst_start_s=-0.002649565; t_end_s=0.016920935; decision=trip time within the pass limit; trip_time_s=0.019570500; analysis_version=v3",200_v3_real_20260813T131932Z,19,62.35956806299964
20,20,200_v3_real_20260813T131932Z,2026-08-13T13:39:50.515778+00:00,4986.555588484,0.0153269999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.917431; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000040435; t0_source=detected_onset; record_after_t0_s=0.249959; burst_start_s=0.000040435; t_end_s=0.015367435; decision=trip time within the pass limit; trip_time_s=0.015327000; analysis_version=v3",200_v3_real_20260813T131932Z,20,60.91926562899971
21,21,200_v3_real_20260813T131932Z,2026-08-13T13:40:55.042137+00:00,5046.330823748,0.015122,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.947618; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000046935; t0_source=detected_onset; record_after_t0_s=0.249953; burst_start_s=0.000046935; t_end_s=0.015168935; decision=trip time within the pass limit; trip_time_s=0.015122000; analysis_version=v3",200_v3_real_20260813T131932Z,21,59.775235264
22,22,200_v3_real_20260813T131932Z,2026-08-13T13:41:57.332730+00:00,5110.912044938,0.013015,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=1.008580; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=-0.008397065; t0_source=detected_onset; record_after_t0_s=0.258397; burst_start_s=-0.008397065; t_end_s=0.004617935; decision=trip time within the pass limit; trip_time_s=0.013015000; analysis_version=v3",200_v3_real_20260813T131932Z,22,64.58122119000018
23,23,200_v3_real_20260813T131932Z,2026-08-13T13:42:57.724334+00:00,5173.188251671,0.0149414999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.966713; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=0.000043435; t0_source=detected_onset; record_after_t0_s=0.249956; burst_start_s=0.000043435; t_end_s=0.014984935; decision=trip time within the pass limit; trip_time_s=0.014941500; analysis_version=v3",200_v3_real_20260813T131932Z,23,62.276206733000436
24,24,200_v3_real_20260813T131932Z,2026-08-13T13:43:57.751968+00:00,5233.577560985,0.0152049999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.957520; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=-0.000000065; t0_source=detected_onset; record_after_t0_s=0.249999; burst_start_s=-0.000000065; t_end_s=0.015204935; decision=trip time within the pass limit; trip_time_s=0.015205000; analysis_version=v3",200_v3_real_20260813T131932Z,24,60.38930931399955
25,25,200_v3_real_20260813T131932Z,2026-08-13T13:44:58.092738+00:00,5293.618627114,0.007888,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.805404; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.004767065; t0_source=detected_onset; record_after_t0_s=0.254767; burst_start_s=-0.004767065; t_end_s=0.003120935; decision=trip time within the pass limit; trip_time_s=0.007888000; analysis_version=v3",200_v3_real_20260813T131932Z,25,60.04106612900068
26,26,200_v3_real_20260813T131932Z,2026-08-13T13:46:02.802750+00:00,5353.928767307,0.0182755,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.713551; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000065; t0_source=detected_onset; record_after_t0_s=0.249999; burst_start_s=-0.000000065; t_end_s=0.018275435; decision=trip time within the pass limit; trip_time_s=0.018275500; analysis_version=v3",200_v3_real_20260813T131932Z,26,60.310140192999825
27,27,200_v3_real_20260813T131932Z,2026-08-13T13:47:03.370700+00:00,5418.633237138,0.0129094999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=162.814050; noise_sigma_v=0.994697; on_threshold_v=40.703513; off_threshold_v=16.281405; t0_s=-0.008368565; t0_source=detected_onset; record_after_t0_s=0.258368; burst_start_s=-0.008368565; t_end_s=0.004540935; decision=trip time within the pass limit; trip_time_s=0.012909500; analysis_version=v3",200_v3_real_20260813T131932Z,27,64.7044698310001
28,28,200_v3_real_20260813T131932Z,2026-08-13T13:48:06.483827+00:00,5479.191887253,0.016272,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=1.030291; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.016271435; decision=trip time within the pass limit; trip_time_s=0.016272000; analysis_version=v3",200_v3_real_20260813T131932Z,28,60.55865011499918
